route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
08241224-56,20241125,20241125-56-56601,56 - DC Oshawa GO,,0,MDDS9130,365701,1,1,56
08241224-56,20241125,20241125-56-56420,56 - Oakville GO,,1,MDDS9130,365699,1,1,56
08241224-41,20241125,20241125-41-41650,41 - Pickering GO,,0,MDDS9129,365675,1,1,41
08241224-41,20241125,20241125-41-41411,41 - Hamilton GO,,1,MDDS9129,365682,1,1,41
08241224-56,20241125,20241125-56-56571,56 - DC Oshawa GO,,0,MDDS9128,365701,1,1,56
08241224-56,20241125,20241125-56-56390,56 - Oakville GO,,1,MDDS9128,365699,1,1,56
08241224-41,20241125,20241125-41-41620,41 - Pickering GO,,0,MDDS9127,365675,1,1,41
08241224-41,20241125,20241125-41-41391,41 - Hamilton GO,,1,MDDS9127,365682,1,1,41
08241224-41,20241125,20241125-41-41590,41 - Pickering GO,,0,MDDS9126,365675,1,1,41
08241224-41,20241125,20241125-41-41361,41 - Hamilton GO,,1,MDDS9126,365682,1,1,41
08241224-41,20241125,20241125-41-41560,41 - Pickering GO,,0,MDDS9125,365675,1,1,41
08241224-41,20241125,20241125-41-41341,41 - Hamilton GO,,1,MDDS9125,365682,1,1,41
08241224-56,20241125,20241125-56-56481,56 - DC Oshawa GO,,0,MDDS9124,365701,1,1,56
08241224-56,20241125,20241125-56-56340,56 - Oakville GO,,1,MDDS9124,365699,1,1,56
08241224-56,20241125,20241125-56-56441,56 - DC Oshawa GO,,0,MDDS9123,365701,1,1,56
08241224-56,20241125,20241125-56-56290,56 - Oakville GO,,1,MDDS9123,365699,1,1,56
08241224-56,20241125,20241125-56-56050,56 - Oakville GO,,1,MDDS9107,365699,1,1,56
08241224-41,20241125,20241125-41-41270,41 - Pickering GO,,0,MDDS9106,365675,1,1,41
08241224-41,20241125,20241125-41-41041,41 - Hamilton GO,,1,MDDS9106,365682,1,1,41
08241224-41,20241125,20241125-41-41042,41A - Pickering GO,,0,MDDS9105,365680,1,1,41A
08241224-92,20241125,20241125-92-92030,92 - Yorkdale Term,,1,MDDS9105,366247,1,1,92
08241224-56,20241125,20241125-56-56071,56A - DC Oshawa GO,,0,MDDS9103,365702,1,1,56A
08241224-92,20241125,20241125-92-92010,92 - Yorkdale Term,,1,MDDS9103,366247,1,1,92
08241224-56,20241125,20241125-56-56131,56 - DC Oshawa GO,,0,MDDS9102,365701,1,1,56
08241224-90,20241125,20241125-90-90001,90B - Union Station,,1,MDDS9102,366245,1,1,90B
08241224-56,20241125,20241125-56-56171,56 - DC Oshawa GO,,0,MDDS9101,365701,1,1,56
08241224-56,20241125,20241125-56-56000,56 - Oakville GO,,1,MDDS9101,365699,1,1,56
08241224-68,20241125,20241125-68-68930,68B - East Gwillimbury GO,,1,MDDS6107,365722,1,1,68B
08241224-68,20241125,20241125-68-68721,68 - Barrie Terminal,,0,MDDS6107,365719,1,1,68
08241224-66,20241125,20241125-66-66591,66 - East Gwillimbury GO,,0,MDDS6107,365714,1,1,66
08241224-66,20241125,20241125-66-66680,66 - Hwy. 407 Bus Term,,1,MDDS6107,365715,1,1,66
08241224-70,20241125,20241125-70-70931,70B - Uxbridge,,0,MDDS6106,365725,1,1,70B
08241224-70,20241125,20241125-70-70861,70D - Uxbridge,,0,MDDS6106,365726,1,1,70D
08241224-68,20241125,20241125-68-68713,68 - Barrie Terminal,,0,MDDS6106,365719,1,1,68
08241224-65,20241125,20241125-65-65620,65 - Union Station,,1,MDDS6106,365708,1,1,65
08241224-67,20241125,20241125-67-67701,67 - Woodbine/404,,0,MDDS6105,365717,1,1,67
08241224-65,20241125,20241125-65-65520,65 - Union Station,,1,MDDS6105,365708,1,1,65
08241224-94,20241125,20241125-94-94711,94 - Pickering GO,,0,MDDS6104,366251,1,1,94
08241224-71,20241125,20241125-71-71620,71 - Union Station,,1,MDDS6104,365729,1,1,71
08241224-70,20241125,20241125-70-70760,70D - Mount Joy GO,,1,MDDS6103,365727,1,1,70D
08241224-70,20241125,20241125-70-70721,70D - Uxbridge,,0,MDDS6103,365726,1,1,70D
08241224-54,20241125,20241125-54-54611,54 - Mount Joy GO,,0,MDDS6103,365696,1,1,54
08241224-54,20241125,20241125-54-54540,54 - Hwy. 407 Bus Term,,1,MDDS6103,365697,1,1,54
08241224-70,20241125,20241125-70-70460,70D - Mount Joy GO,,1,MDDS6103,365727,1,1,70D
08241224-70,20241125,20241125-70-70261,70D - Uxbridge,,0,MDDS6102,365726,1,1,70D
08241224-54,20241125,20241125-54-54241,54 - Mount Joy GO,,0,MDDS6102,365696,1,1,54
08241224-54,20241125,20241125-54-54180,54 - Hwy. 407 Bus Term,,1,MDDS6102,365697,1,1,54
08241224-33,20241203,20241203-33-33790,33H - Bramalea GO,,0,MDDS5142,365652,1,1,33H
08241224-33,20241203,20241203-33-33701,33E - Georgetown GO,,1,MDDS5142,365661,1,1,33E
08241224-32,20241203,20241203-32-32421,32 - Trinity Common,,1,MDDS5142,365646,1,1,32
08241224-25,20241203,20241203-25-25622,25A - Square One,,0,MDDS5141,365613,1,1,25A
08241224-25,20241203,20241203-25-25513,25C - U of Waterloo,,1,MDDS5141,365611,1,1,25C
08241224-94,20241203,20241203-94-94750,94 - Square One,,1,MDDS5140,366250,1,1,94
08241224-96,20241203,20241203-96-96631,96B - DC Oshawa GO,,0,MDDS5140,366252,1,1,96B
08241224-32,20241203,20241203-32-32411,32 - Trinity Common,,1,MDDS5140,365646,1,1,32
08241224-31,20241203,20241203-31-31883,31K - Mount Pleasant GO,,1,MDDS5139,365642,1,1,31K
08241224-94,20241203,20241203-94-94791,94 - Pickering GO,,0,MDDS5139,366251,1,1,94
08241224-21,20241203,20241203-21-21741,21C - Square One,,1,MDDS5139,365594,1,1,21C
08241224-71,20241203,20241203-71-71650,71E - Union Station,,1,MDDS5139,365728,1,1,71E
08241224-54,20241203,20241203-54-54491,54 - Mount Joy GO,,0,MDDS5139,365696,1,1,54
08241224-41,20241203,20241203-41-41672,41B - Centennial College,,0,MDDS5138,365678,1,1,41B
08241224-40,20241203,20241203-40-40501,40 - Hamilton GO,,1,MDDS5138,365673,1,1,40
08241224-48,20241203,20241203-48-48830,48 - Hwy. 407 Bus Term,,0,MDDS5137,365692,1,1,48
08241224-56,20241203,20241203-56-56512,56A - Square One,,1,MDDS5137,365698,1,1,56A
08241224-27,20241203,20241203-27-27741,27B - Meadowvale GO,,1,MDDS5136,365617,1,1,27B
08241224-47,20241203,20241203-47-47606,47D - Hwy. 407 Bus Term,,0,MDDS5136,365689,1,1,47D
08241224-40,20241203,20241203-40-40461,40 - Hamilton GO,,1,MDDS5136,365673,1,1,40
08241224-47,20241203,20241203-47-47806,47D - Hwy. 407 Bus Term,,0,MDDS5135,365689,1,1,47D
08241224-56,20241203,20241203-56-56530,56 - Oakville GO,,1,MDDS5135,365699,1,1,56
08241224-96,20241203,20241203-96-96441,96B - DC Oshawa GO,,0,MDDS5135,366252,1,1,96B
08241224-47,20241203,20241203-47-47850,47 - Hwy. 407 Bus Term,,0,MDDS5134,365687,1,1,47
08241224-40,20241203,20241203-40-40711,40 - Hamilton GO,,1,MDDS5134,365673,1,1,40
08241224-40,20241203,20241203-40-40590,40 - Richmond Hill Ctr,,0,MDDS5134,365672,1,1,40
08241224-40,20241203,20241203-40-40451,40 - Hamilton GO,,1,MDDS5134,365673,1,1,40
08241224-92,20241203,20241203-92-92760,92 - Yorkdale Term,,1,MDDS5133,366247,1,1,92
08241224-96,20241203,20241203-96-96701,96B - DC Oshawa GO,,0,MDDS5133,366252,1,1,96B
08241224-40,20241203,20241203-40-40570,40 - Richmond Hill Ctr,,0,MDDS5133,365672,1,1,40
08241224-40,20241203,20241203-40-40421,40 - Hamilton GO,,1,MDDS5133,365673,1,1,40
08241224-33,20241203,20241203-33-33742,33B - York Mills Term,,0,MDDS5132,365658,1,1,33B
08241224-33,20241203,20241203-33-33740,33F - Mount Pleasant GO,,0,MDDS5132,365654,1,1,33F
08241224-48,20241203,20241203-48-48531,48 - U of Guelph,,1,MDDS5132,365691,1,1,48
08241224-27,20241203,20241203-27-27411,27B - Meadowvale GO,,1,MDDS5132,365617,1,1,27B
08241224-56,20241203,20241203-56-56680,56 - Oakville GO,,1,MDDS5131,365699,1,1,56
08241224-56,20241203,20241203-56-56431,56 - DC Oshawa GO,,0,MDDS5131,365701,1,1,56
08241224-56,20241203,20241203-56-56650,56 - Oakville GO,,1,MDDS5130,365699,1,1,56
08241224-96,20241203,20241203-96-96541,96B - DC Oshawa GO,,0,MDDS5130,366252,1,1,96B
08241224-36,20241203,20241203-36-36420,36B - York Mills Term,,0,MDDS5130,365664,1,1,36B
08241224-47,20241203,20241203-47-47776,47D - Hwy. 407 Bus Term,,0,MDDS5129,365689,1,1,47D
08241224-40,20241203,20241203-40-40641,40 - Hamilton GO,,1,MDDS5129,365673,1,1,40
08241224-40,20241203,20241203-40-40530,40 - Richmond Hill Ctr,,0,MDDS5129,365672,1,1,40
08241224-16,20241203,20241203-16-16421,16 - Hamilton GO,,1,MDDS5129,365570,1,1,16
08241224-40,20241203,20241203-40-40620,40 - Richmond Hill Ctr,,0,MDDS5128,365672,1,1,40
08241224-41,20241203,20241203-41-41371,41 - Hamilton GO,,1,MDDS5128,365682,1,1,41
08241224-54,20241203,20241203-54-54740,54 - Hwy. 407 Bus Term,,1,MDDS5127,365697,1,1,54
08241224-19,20241202,20241202-19-19191,19 - Square One,,1,strvl013,365591,1,1,19
08241224-27,20241202,20241202-27-27130,27A - Finch Terminal,,0,strvl013,365620,1,1,27A
08241224-21,20241202,20241202-21-21351,21 - Milton GO,,1,strvl012,365596,1,1,21
08241224-21,20241202,20241202-21-21242,21B - Union Station,,0,strvl012,365602,1,1,21B
08241224-33,20241202,20241202-33-33110,33E - York Mills Term,,0,strvl012,365657,1,1,33E
08241224-48,20241202,20241202-48-48380,48 - Hwy. 407 Bus Term,,0,strvl011,365692,1,1,48
08241224-29,20241202,20241202-29-29251,29A - U of Guelph,,1,strvl011,365624,1,1,29A
08241224-19,20241202,20241202-19-19161,19 - Square One,,1,strvl011,365591,1,1,19
08241224-27,20241202,20241202-27-27100,27A - Finch Terminal,,0,strvl011,365620,1,1,27A
08241224-16,20241202,20241202-16-16360,16 - Union Station,,0,strvl010,365569,1,1,16
08241224-17,20241202,20241202-17-17180,17 - Hamilton GO,,1,strvl010,365572,1,1,17
08241224-25,20241202,20241202-25-25061,25 - U of Waterloo,,1,strvl010,365614,1,1,25
08241224-41,20241202,20241202-41-41421,41C - Square One,,1,strvl009,365679,1,1,41C
08241224-41,20241202,20241202-41-41322,41C - Centennial College,,0,strvl009,365674,1,1,41C
08241224-19,20241202,20241202-19-19261,19 - Square One,,1,strvl009,365591,1,1,19
08241224-19,20241202,20241202-19-19180,19 - Finch Terminal,,0,strvl009,365592,1,1,19
08241224-32,20241202,20241202-32-32070,32 - York Mills Term,,0,strvl009,365647,1,1,32
08241224-21,20241202,20241202-21-21310,21C - Union Station,,0,strvl008,365593,1,1,21C
08241224-19,20241202,20241202-19-19211,19 - Square One,,1,strvl008,365591,1,1,19
08241224-19,20241202,20241202-19-19130,19 - Finch Terminal,,0,strvl008,365592,1,1,19
08241224-12,20241202,20241202-12-12402,12B - Burlington GO,,0,strvl007,365564,1,1,12B
08241224-12,20241202,20241202-12-12283,12B - Niagara Falls,,1,strvl007,365563,1,1,12B
08241224-40,20241202,20241202-40-40121,40 - Hamilton GO,,1,strvl007,365673,1,1,40
08241224-31,20241202,20241202-31-31040,31L - Union Station,,0,strvl007,365638,1,1,31L
08241224-27,20241202,20241202-27-27331,27B - Meadowvale GO,,1,strvl006,365617,1,1,27B
08241224-27,20241202,20241202-27-27240,27A - Finch Terminal,,0,strvl006,365620,1,1,27A
08241224-27,20241202,20241202-27-27101,27A - Milton GO,,1,strvl006,365618,1,1,27A
08241224-19,20241202,20241202-19-19040,19 - Finch Terminal,,0,strvl006,365592,1,1,19
08241224-19,20241202,20241202-19-19330,19 - Finch Terminal,,0,strvl005,365592,1,1,19
08241224-19,20241202,20241202-19-19271,19 - Square One,,1,strvl005,365591,1,1,19
08241224-19,20241202,20241202-19-19210,19 - Finch Terminal,,0,strvl005,365592,1,1,19
08241224-19,20241202,20241202-19-19101,19 - Square One,,1,strvl005,365591,1,1,19
08241224-27,20241202,20241202-27-27060,27A - Finch Terminal,,0,strvl005,365620,1,1,27A
08241224-27,20241202,20241202-27-27371,27B - Meadowvale GO,,1,strvl004,365617,1,1,27B
08241224-27,20241202,20241202-27-27320,27A - Finch Terminal,,0,strvl004,365620,1,1,27A
08241224-21,20241202,20241202-21-21181,21 - Milton GO,,1,strvl004,365596,1,1,21
08241224-21,20241202,20241202-21-21020,21 - Union Station,,0,strvl004,365595,1,1,21
08241224-21,20241202,20241202-21-21274,21A - Union Station,,0,strvl003,365601,1,1,21A
08241224-22,20241202,20241202-22-22191,22 - Milton GO,,0,strvl003,365607,1,1,22
08241224-22,20241202,20241202-22-22130,22 - Oakville GO,,1,strvl003,365608,1,1,22
08241224-27,20241202,20241202-27-27291,27B - Meadowvale GO,,1,strvl002,365617,1,1,27B
08241224-19,20241202,20241202-19-19230,19 - Finch Terminal,,0,strvl002,365592,1,1,19
08241224-19,20241202,20241202-19-19151,19 - Square One,,1,strvl002,365591,1,1,19
08241224-19,20241202,20241202-19-19080,19 - Finch Terminal,,0,strvl002,365592,1,1,19
08241224-22,20241202,20241202-22-22300,22 - Oakville GO,,1,strvl001,365608,1,1,22
08241224-22,20241202,20241202-22-22261,22 - Milton GO,,0,strvl001,365607,1,1,22
08241224-22,20241202,20241202-22-22220,22 - Oakville GO,,1,strvl001,365608,1,1,22
08241224-21,20241202,20241202-21-21051,21 - Milton GO,,1,strvl001,365596,1,1,21
08241224-21,20241202,20241202-21-21000,21 - Union Station,,0,strvl001,365595,1,1,21
08241224-94,20241202,20241202-94-94921,94 - Pickering GO,,0,steep042,366251,1,1,94
08241224-19,20241202,20241202-19-19911,19 - Square One,,1,steep042,365591,1,1,19
08241224-19,20241202,20241202-19-19780,19 - Finch Terminal,,0,steep042,365592,1,1,19
08241224-41,20241202,20241202-41-41633,41A - Square One,,1,steep042,365676,1,1,41A
08241224-36,20241202,20241202-36-36921,36B - Bramalea Term,,1,steep041,365665,1,1,36B
08241224-94,20241202,20241202-94-94861,94 - Pickering GO,,0,steep041,366251,1,1,94
08241224-37,20241202,20241202-37-37822,37B - Brampton Term,,1,steep041,365669,1,1,37B
08241224-37,20241202,20241202-37-37671,37 - Orangeville,,0,steep041,365667,1,1,37
08241224-36,20241202,20241202-36-36591,36B - Bramalea Term,,1,steep041,365665,1,1,36B
08241224-71,20241202,20241202-71-71901,71C - Old Elm GO,,0,steep040,365732,1,1,71C
08241224-54,20241202,20241202-54-54820,54 - Hwy. 407 Bus Term,,1,steep040,365697,1,1,54
08241224-54,20241202,20241202-54-54781,54 - Mount Joy GO,,0,steep040,365696,1,1,54
08241224-56,20241202,20241202-56-56661,56B - Hwy. 407 Bus Term,,0,steep040,365703,1,1,56B
08241224-19,20241202,20241202-19-19541,19 - Square One,,1,steep040,365591,1,1,19
08241224-33,20241126,20241126-33-33820,33F - Mount Pleasant GO,,0,strvl044,365654,1,1,33F
08241224-33,20241126,20241126-33-33601,33 - U of Guelph,,1,strvl044,365656,1,1,33
08241224-21,20241126,20241126-21-21833,21E - Lisgar GO,,1,strvl043,365600,1,1,21E
08241224-21,20241126,20241126-21-21740,21 - Union Station,,0,strvl043,365595,1,1,21
08241224-27,20241126,20241126-27-27621,27A - Milton GO,,1,strvl043,365618,1,1,27A
08241224-27,20241126,20241126-27-27540,27A - Finch Terminal,,0,strvl043,365620,1,1,27A
08241224-36,20241126,20241126-36-36811,36B - Bramalea Term,,1,strvl042,365665,1,1,36B
08241224-41,20241126,20241126-41-41673,41A - Square One,,1,strvl042,365676,1,1,41A
08241224-21,20241126,20241126-21-21484,21A - Union Station,,0,strvl042,365601,1,1,21A
08241224-19,20241126,20241126-19-19771,19 - Square One,,1,strvl041,365591,1,1,19
08241224-27,20241126,20241126-27-27551,27A - Milton GO,,1,strvl041,365618,1,1,27A
08241224-27,20241126,20241126-27-27480,27B - Finch Terminal,,0,strvl041,365619,1,1,27B
08241224-19,20241126,20241126-19-19621,19 - Square One,,1,strvl039,365591,1,1,19
08241224-27,20241126,20241126-27-27510,27A - Finch Terminal,,0,strvl039,365620,1,1,27A
08241224-56,20241126,20241126-56-56720,56 - Oakville GO,,1,strvl038,365699,1,1,56
08241224-56,20241126,20241126-56-56471,56 - DC Oshawa GO,,0,strvl038,365701,1,1,56
08241224-88,20241126,20241126-88-88680,88 - Trent U,,0,MDDS9140,366238,1,1,88
08241224-41,20241126,20241126-41-41860,41 - Pickering GO,,0,MDDS9139,365675,1,1,41
08241224-56,20241126,20241126-56-56560,56 - Oakville GO,,1,MDDS9139,365699,1,1,56
08241224-96,20241126,20241126-96-96881,96B - DC Oshawa GO,,0,MDDS9138,366252,1,1,96B
08241224-41,20241126,20241126-41-41753,41A - Square One,,1,MDDS9138,365676,1,1,41A
08241224-94,20241126,20241126-94-94671,94 - Pickering GO,,0,MDDS9138,366251,1,1,94
08241224-41,20241126,20241126-41-41503,41C - Square One,,1,MDDS9138,365679,1,1,41C
08241224-90,20241126,20241126-90-90902,90B - DC Oshawa GO,,0,MDDS9137,366244,1,1,90B
08241224-90,20241126,20241126-90-90901,90B - Union Station,,1,MDDS9137,366245,1,1,90B
08241224-56,20241126,20241126-56-56731,56 - DC Oshawa GO,,0,MDDS9137,365701,1,1,56
08241224-56,20241126,20241126-56-56500,56 - Oakville GO,,1,MDDS9137,365699,1,1,56
08241224-41,20241126,20241126-41-41840,41 - Pickering GO,,0,MDDS9136,365675,1,1,41
08241224-41,20241126,20241126-41-41501,41 - Hamilton GO,,1,MDDS9136,365682,1,1,41
08241224-41,20241126,20241126-41-41780,41 - Pickering GO,,0,MDDS9135,365675,1,1,41
08241224-41,20241126,20241126-41-41471,41 - Hamilton GO,,1,MDDS9135,365682,1,1,41
08241224-88,20241126,20241126-88-88641,88 - DC Oshawa GO,,1,MDDS9134,366242,1,1,88
08241224-56,20241126,20241126-56-56024,56B - Oakville GO,,1,MDDS5115,365700,1,1,56B
08241224-70,20241126,20241126-70-70380,70D - Mount Joy GO,,1,MDDS5114,365727,1,1,70D
08241224-70,20241126,20241126-70-70331,70D - Uxbridge,,0,MDDS5114,365726,1,1,70D
08241224-41,20241126,20241126-41-41194,41C - Centennial College,,0,MDDS5114,365674,1,1,41C
08241224-32,20241126,20241126-32-32130,32 - York Mills Term,,0,MDDS5114,365647,1,1,32
08241224-41,20241126,20241126-41-41282,41A - Pickering GO,,0,MDDS5113,365680,1,1,41A
08241224-94,20241126,20241126-94-94210,94 - Square One,,1,MDDS5113,366250,1,1,94
08241224-41,20241126,20241126-41-41012,41A - Pickering GO,,0,MDDS5113,365680,1,1,41A
08241224-41,20241126,20241126-41-41144,41C - Centennial College,,0,MDDS5112,365674,1,1,41C
08241224-32,20241126,20241126-32-32080,32 - York Mills Term,,0,MDDS5112,365647,1,1,32
08241224-71,20241126,20241126-71-71670,71 - Union Station,,1,MDDS5111,365729,1,1,71
08241224-70,20241126,20241126-70-70491,70D - Uxbridge,,0,MDDS5111,365726,1,1,70D
08241224-54,20241126,20241126-54-54441,54 - Mount Joy GO,,0,MDDS5111,365696,1,1,54
08241224-54,20241126,20241126-54-54400,54 - Hwy. 407 Bus Term,,1,MDDS5111,365697,1,1,54
08241224-54,20241126,20241126-54-54321,54 - Mount Joy GO,,0,MDDS5111,365696,1,1,54
08241224-40,20241126,20241126-40-40210,40 - Richmond Hill Ctr,,0,MDDS5111,365672,1,1,40
08241224-25,20241126,20241126-25-25570,25 - Square One,,0,MDDS3228,365609,1,1,25
08241224-30,20241126,20241126-30-30451,30 - U of Waterloo,,1,MDDS3228,365625,1,1,30
08241224-33,20241126,20241126-33-33741,33B - Mount Pleasant GO,,1,MDDS3227,365662,1,1,33B
08241224-36,20241126,20241126-36-36640,36B - York Mills Term,,0,MDDS3227,365664,1,1,36B
08241224-32,20241126,20241126-32-32453,32B - Bramalea Term,,1,MDDS3227,365649,1,1,32B
08241224-33,20241126,20241126-33-33442,33B - York Mills Term,,0,MDDS3227,365658,1,1,33B
08241224-36,20241126,20241126-36-36771,36B - Bramalea Term,,1,MDDS3226,365665,1,1,36B
08241224-41,20241126,20241126-41-41642,41B - Centennial College,,0,MDDS3226,365678,1,1,41B
08241224-16,20241126,20241126-16-16461,16 - Hamilton GO,,1,MDDS3226,365570,1,1,16
08241224-33,20241126,20241126-33-33761,33E - Georgetown GO,,1,MDDS3225,365661,1,1,33E
08241224-33,20241126,20241126-33-33640,33A - York Mills Term,,0,MDDS3225,365659,1,1,33A
08241224-33,20241126,20241126-33-33561,33B - Mount Pleasant GO,,1,MDDS3225,365662,1,1,33B
08241224-32,20241126,20241126-32-32330,32 - York Mills Term,,0,MDDS3225,365647,1,1,32
08241224-36,20241126,20241126-36-36651,36B - Bramalea Term,,1,MDDS3223,365665,1,1,36B
08241224-33,20241126,20241126-33-33521,33B - Mount Pleasant GO,,1,MDDS3223,365662,1,1,33B
08241224-32,20241126,20241126-32-32300,32 - York Mills Term,,0,MDDS3223,365647,1,1,32
08241224-47,20241126,20241126-47-47810,47 - Hwy. 407 Bus Term,,0,MDDS3141,365687,1,1,47
08241224-18,20241126,20241126-18-18721,18 - Hamilton GO,,1,MDDS3141,365573,1,1,18
08241224-11,20241126,20241126-11-11770,11 - Aldershot GO,,0,MDDS3141,365557,1,1,11
08241224-11,20241126,20241126-11-11371,11 - Brock University,,1,MDDS3141,365558,1,1,11
08241224-41,20241126,20241126-41-41713,41A - Square One,,1,MDDS3139,365676,1,1,41A
08241224-41,20241126,20241126-41-41473,41A - Square One,,1,MDDS3139,365676,1,1,41A
08241224-19,20241126,20241126-19-19410,19 - Finch Terminal,,0,MDDS3139,365592,1,1,19
